Day,Time Period,Food Sold,Quantity
Monday,Morning,Ais Kacang,7
Monday,Morning,Bandung Syrup,14
Monday,Morning,Cendol,3
Monday,Morning,Char Kway Teow,7
Monday,Morning,Kari Puff,13
Monday,Morning,Kopi O,12
Monday,Morning,Kuih-muih,23
Monday,Morning,Laksa,21
Monday,Morning,Lemang,5
Monday,Morning,Mee Bandung,17
Monday,Morning,Mee Goreng,13
Monday,Morning,Milo Ice,19
Monday,Morning,Nasi Ayam,10
Monday,Morning,Nasi Kerabu,12
Monday,Morning,Nasi Lemak,24
Monday,Morning,Pisang Goreng,7
Monday,Morning,Rendang,6
Monday,Morning,Roti Canai,29
Monday,Morning,Satay,6
Monday,Morning,Teh Tarik,19
Monday,Afternoon,Ais Kacang,15
Monday,Afternoon,Bandung Syrup,18
Monday,Afternoon,Cendol,12
Monday,Afternoon,Char Kway Teow,9
Monday,Afternoon,Kari Puff,4
Monday,Afternoon,Kopi O,6
Monday,Afternoon,Kuih-muih,8
Monday,Afternoon,Laksa,10
Monday,Afternoon,Lemang,17
Monday,Afternoon,Mee Bandung,7
Monday,Afternoon,Mee Goreng,12
Monday,Afternoon,Milo Ice,9
Monday,Afternoon,Nasi Ayam,21
Monday,Afternoon,Nasi Kerabu,10
Monday,Afternoon,Nasi Lemak,6
Monday,Afternoon,Pisang Goreng,11
Monday,Afternoon,Rendang,13
Monday,Afternoon,Roti Canai,5
Monday,Afternoon,Satay,9
Monday,Afternoon,Teh Tarik,7
Monday,Evening,Ais Kacang,11
Monday,Evening,Bandung Syrup,14
Monday,Evening,Cendol,16
Monday,Evening,Char Kway Teow,18
Monday,Evening,Kari Puff,6
Monday,Evening,Kopi O,8
Monday,Evening,Kuih-muih,5
Monday,Evening,Laksa,9
Monday,Evening,Lemang,14
Monday,Evening,Mee Bandung,12
Monday,Evening,Mee Goreng,19
Monday,Evening,Milo Ice,7
Monday,Evening,Nasi Ayam,12
Monday,Evening,Nasi Kerabu,7
Monday,Evening,Nasi Lemak,8
Monday,Evening,Pisang Goreng,13
Monday,Evening,Rendang,14
Monday,Evening,Roti Canai,3
Monday,Evening,Satay,23
Monday,Evening,Teh Tarik,10
Tuesday,Morning,Ais Kacang,8
Tuesday,Morning,Bandung Syrup,12
Tuesday,Morning,Cendol,5
Tuesday,Morning,Char Kway Teow,5
Tuesday,Morning,Kari Puff,15
Tuesday,Morning,Kopi O,16
Tuesday,Morning,Kuih-muih,22
Tuesday,Morning,Laksa,24
Tuesday,Morning,Lemang,7
